id_estudio,servicio,ciudad,cliente,sector,personas,jornada,antiguedad_cliente,hallazgo_msk
E-0000,Dinamómetro,Medellín,Crystal,manufactura,5,diurna,3,1
E-0001,Dinamómetro,Funza,Mattelsa,minería,10,diurna,0,1
E-0002,GoPro,Pasto,Imbanaco,minería,20,diurna,3,1
E-0003,Xsens,Cali,El Retiro,salud,5,rotativa,48,0
E-0004,Tobii,Zipaquirá,Colanta,servicios,3,nocturna,3,0
E-0005,Tumeke,Soacha,Cetelsa,salud,8,diurna,48,1
E-0006,Tumeke,Urabá,Colanta,alimentos,20,nocturna,0,0
E-0007,GoPro,Medellín,Alpina,servicios,8,rotativa,24,1
E-0008,Dinamómetro,Medellín,Imbanaco,agroindustria,2,nocturna,48,1
E-0009,EMG,Funza,Crystal,salud,8,rotativa,3,1
E-0010,EMG,Pasto,El Retiro,alimentos,2,rotativa,24,0
E-0011,Xsens,Pasto,Mattelsa,agroindustria,10,nocturna,6,0
E-0012,Dinamómetro,Zipaquirá,Imbanaco,servicios,4,diurna,48,1
E-0013,EMG,Urabá,Ura Industries,manufactura,8,diurna,3,1
E-0014,Dinamómetro,Pasto,Peldar,salud,5,diurna,3,1
E-0015,EMG,Funza,Solla,alimentos,10,rotativa,24,1
E-0016,GoPro,Cali,Cetelsa,salud,1,diurna,48,1
E-0017,Dinamómetro,Antioquia,Peldar,salud,2,rotativa,12,0
E-0018,EMG,Soacha,Cetelsa,minería,2,diurna,36,0
E-0019,Dinamómetro,Bogotá,El Retiro,servicios,5,diurna,12,1
E-0020,Dinamómetro,Soacha,Linea Directa,servicios,3,rotativa,24,0
E-0021,Dinamómetro,Cali,Peldar,minería,4,rotativa,3,1
E-0022,GoPro,Zipaquirá,Ura Industries,manufactura,8,rotativa,12,1
E-0023,EMG,Medellín,El Retiro,agroindustria,4,diurna,24,0
E-0024,Tobii,Antioquia,Peldar,logística,20,diurna,48,1
E-0025,Xsens,Funza,El Retiro,servicios,10,rotativa,3,0
