entrada_id,fuente,campo_destino,columna_original,valor_constante,formato_fecha,origen_excel,candidatos_revisar
ENTRADA_0001,employment,company,,,,,[]
ENTRADA_0001,employment,person_id,,,,,[]
ENTRADA_0001,employment,spell_id,,,,,[]
ENTRADA_0001,employment,start_date,,,,,[]
ENTRADA_0001,employment,end_date,,,,,[]
ENTRADA_0001,employment,recorded_at,,,,,[]
ENTRADA_0001,employment,job,,,,,"[""CARGO""]"
ENTRADA_0001,employment,area,,,,,[]
ENTRADA_0001,employment,site,,,,,"[""CENTRO DE TRABAJO""]"
ENTRADA_0001,employment,effective_from,,,,,[]
ENTRADA_0001,outcomes,company,,,,,[]
ENTRADA_0001,outcomes,person_id,,,,,[]
ENTRADA_0001,outcomes,event_id,,,,,[]
ENTRADA_0001,outcomes,status,,,,,[]
ENTRADA_0001,outcomes,event_date,,,,,[]
ENTRADA_0001,outcomes,available_at,,,,,[]
ENTRADA_0001,outcomes,outcome_group,,,,,[]
ENTRADA_0001,followup,company,,,,,[]
ENTRADA_0001,followup,person_id,,,,,[]
ENTRADA_0001,followup,obs_start,,,,,[]
ENTRADA_0001,followup,obs_end,,,,,[]
ENTRADA_0001,followup,verified_at,,,,,[]
ENTRADA_0001,health_events,company,,ASEAR S.A.S. E.S.P.,,,[]
ENTRADA_0001,health_events,person_id,CEDULA TRABAJADOR,,,,[]
ENTRADA_0001,health_events,event_id,ID_EVENTO_DERIVADO,,,,[]
ENTRADA_0001,health_events,event_date,FECHA INICIAL,,ISO8601,,[]
ENTRADA_0001,health_events,available_at,FECHA INICIAL,,ISO8601,,[]
ENTRADA_0001,health_events,source_kind,,ausentismo_comun,,,[]
ENTRADA_0001,health_events,days,DIAS DE INCAPACIDAD,,,,"[""DIAS DE INCAPACIDAD""]"
ENTRADA_0001,health_events,severity,,,,,[]
ENTRADA_0001,exposures,company,,,,,[]
ENTRADA_0001,exposures,person_id,,,,,[]
ENTRADA_0001,exposures,start_date,,,,,[]
ENTRADA_0001,exposures,end_date,,,,,[]
ENTRADA_0001,exposures,available_at,,,,,[]
