stage,step,count,index_date,label_cutoff
train,employment_records,5549.0,2021-03-31,2026-06-30
train,records_available_by_index,437.0,2021-03-31,2026-06-30
train,records_effective_by_index,437.0,2021-03-31,2026-06-30
train,records_available_and_effective_by_index,437.0,2021-03-31,2026-06-30
train,known_spells,437.0,2021-03-31,2026-06-30
train,active_people,437.0,2021-03-31,2026-06-30
train,overlapping_spells,0.0,2021-03-31,2026-06-30
train,other_partition,177.0,2021-03-31,2026-06-30
train,prevalent_confirmed,0.0,2021-03-31,2026-06-30
train,baseline_uncertain,0.0,2021-03-31,2026-06-30
train,prevalent_confirmed_found_late,0.0,2021-03-31,2026-06-30
train,baseline_uncertain_found_late,0.0,2021-03-31,2026-06-30
train,no_observation,0.0,2021-03-31,2026-06-30
train,no_positive_followup,0.0,2021-03-31,2026-06-30
train,eligible,260.0,2021-03-31,2026-06-30
train,events,5.0,2021-03-31,2026-06-30
validation,employment_records,5549.0,2021-03-31,2026-06-30
validation,records_available_by_index,437.0,2021-03-31,2026-06-30
validation,records_effective_by_index,437.0,2021-03-31,2026-06-30
validation,records_available_and_effective_by_index,437.0,2021-03-31,2026-06-30
validation,known_spells,437.0,2021-03-31,2026-06-30
validation,active_people,437.0,2021-03-31,2026-06-30
validation,overlapping_spells,0.0,2021-03-31,2026-06-30
validation,other_partition,352.0,2021-03-31,2026-06-30
validation,prevalent_confirmed,0.0,2021-03-31,2026-06-30
validation,baseline_uncertain,0.0,2021-03-31,2026-06-30
validation,prevalent_confirmed_found_late,0.0,2021-03-31,2026-06-30
validation,baseline_uncertain_found_late,0.0,2021-03-31,2026-06-30
validation,no_observation,0.0,2021-03-31,2026-06-30
validation,no_positive_followup,0.0,2021-03-31,2026-06-30
validation,eligible,85.0,2021-03-31,2026-06-30
validation,events,<5,2021-03-31,2026-06-30
test,employment_records,5549.0,2021-03-31,2026-06-30
test,records_available_by_index,437.0,2021-03-31,2026-06-30
test,records_effective_by_index,437.0,2021-03-31,2026-06-30
test,records_available_and_effective_by_index,437.0,2021-03-31,2026-06-30
test,known_spells,437.0,2021-03-31,2026-06-30
test,active_people,437.0,2021-03-31,2026-06-30
test,overlapping_spells,0.0,2021-03-31,2026-06-30
test,other_partition,345.0,2021-03-31,2026-06-30
test,prevalent_confirmed,0.0,2021-03-31,2026-06-30
test,baseline_uncertain,0.0,2021-03-31,2026-06-30
test,prevalent_confirmed_found_late,0.0,2021-03-31,2026-06-30
test,baseline_uncertain_found_late,0.0,2021-03-31,2026-06-30
test,no_observation,0.0,2021-03-31,2026-06-30
test,no_positive_followup,0.0,2021-03-31,2026-06-30
test,eligible,92.0,2021-03-31,2026-06-30
test,events,0.0,2021-03-31,2026-06-30
score,employment_records,5549.0,2026-06-30,2026-06-30
score,records_available_by_index,5516.0,2026-06-30,2026-06-30
score,records_effective_by_index,5516.0,2026-06-30,2026-06-30
score,records_available_and_effective_by_index,5516.0,2026-06-30,2026-06-30
score,known_spells,5516.0,2026-06-30,2026-06-30
score,active_people,3555.0,2026-06-30,2026-06-30
score,overlapping_spells,0.0,2026-06-30,2026-06-30
score,other_partition,0.0,2026-06-30,2026-06-30
score,prevalent_confirmed,19.0,2026-06-30,2026-06-30
score,baseline_uncertain,0.0,2026-06-30,2026-06-30
score,prevalent_confirmed_found_late,0.0,2026-06-30,2026-06-30
score,baseline_uncertain_found_late,0.0,2026-06-30,2026-06-30
score,no_observation,0.0,2026-06-30,2026-06-30
score,no_positive_followup,0.0,2026-06-30,2026-06-30
score,eligible,3536.0,2026-06-30,2026-06-30
score,events,,2026-06-30,2026-06-30
