t0,activos,prevalentes_excluidos,elegibles,meses_seguimiento_hasta_cierre,mediana_dias_seguimiento_elegibles,elegibles_con_vinculo_desde_3m_antes,elegibles_con_vinculo_desde_6m_antes,elegibles_con_vinculo_desde_12m_antes,eventos_a_12m,horizonte_12m_dentro_de_cobertura,eventos_a_36m,horizonte_36m_dentro_de_cobertura,eventos_a_60m,horizonte_60m_dentro_de_cobertura,eventos_totales_observables
2020-12-31,258,0,258,65.9,2007.0,75,48,10,0,True,2,True,4,True,4
2021-03-31,437,0,437,63.0,1917.0,258,75,11,0,True,2,True,6,True,6
2021-06-30,649,4,645,60.0,1826.0,436,257,47,0,True,3,True,7,False,7
2021-09-30,679,4,675,57.0,1734.0,642,434,73,2,True,3,True,7,False,7
2021-12-31,561,4,557,53.9,1642.0,523,500,219,2,True,3,True,7,False,7
2022-03-31,757,5,752,51.0,1552.0,543,509,341,2,True,3,True,9,False,9
2022-06-30,761,4,757,48.0,1461.0,704,532,478,2,True,5,True,9,False,9
2022-09-30,831,7,824,45.0,1369.0,731,683,489,0,True,5,True,7,False,7
2022-12-31,662,7,655,42.0,1277.0,605,564,469,0,True,6,True,7,False,7
2023-03-31,883,8,875,39.0,1187.0,640,592,510,0,True,6,True,7,False,7
2023-06-30,901,6,895,36.0,1096.0,805,622,539,1,True,7,False,7,False,7
2023-09-30,981,6,975,33.0,1004.0,889,801,576,1,True,7,False,7,False,7
2023-12-31,893,7,886,30.0,912.0,810,755,591,1,True,8,False,8,False,8
