stage,feature,n_people,n_missing,missing_pct
train,tenure_years,260,0,0.0
train,health_available_ausentismo_comun_3m,260,0,0.0
train,health_count_ausentismo_comun_3m,260,105,40.38461538461539
train,health_days_ausentismo_comun_3m,260,105,40.38461538461539
train,health_available_ausentismo_laboral_3m,260,0,0.0
train,health_count_ausentismo_laboral_3m,260,105,40.38461538461539
train,health_days_ausentismo_laboral_3m,260,105,40.38461538461539
train,health_available_at_3m,260,0,0.0
train,health_count_at_3m,260,260,100.0
train,health_days_at_3m,260,260,100.0
train,health_available_veo_3m,260,0,0.0
train,health_count_veo_3m,260,260,100.0
train,health_days_veo_3m,260,260,100.0
train,health_available_ausentismo_comun_6m,260,0,0.0
train,health_count_ausentismo_comun_6m,260,218,83.84615384615385
train,health_days_ausentismo_comun_6m,260,218,83.84615384615385
train,health_available_ausentismo_laboral_6m,260,0,0.0
train,health_count_ausentismo_laboral_6m,260,218,83.84615384615385
train,health_days_ausentismo_laboral_6m,260,218,83.84615384615385
train,health_available_at_6m,260,0,0.0
train,health_count_at_6m,260,260,100.0
train,health_days_at_6m,260,260,100.0
train,health_available_veo_6m,260,0,0.0
train,health_count_veo_6m,260,260,100.0
train,health_days_veo_6m,260,260,100.0
train,health_available_ausentismo_comun_12m,260,0,0.0
train,health_count_ausentismo_comun_12m,260,253,97.3076923076923
train,health_days_ausentismo_comun_12m,260,253,97.3076923076923
train,health_available_ausentismo_laboral_12m,260,0,0.0
train,health_count_ausentismo_laboral_12m,260,253,97.3076923076923
train,health_days_ausentismo_laboral_12m,260,253,97.3076923076923
train,health_available_at_12m,260,0,0.0
train,health_count_at_12m,260,260,100.0
train,health_days_at_12m,260,260,100.0
train,health_available_veo_12m,260,0,0.0
train,health_count_veo_12m,260,260,100.0
train,health_days_veo_12m,260,260,100.0
validation,tenure_years,85,0,0.0
validation,health_available_ausentismo_comun_3m,85,0,0.0
validation,health_count_ausentismo_comun_3m,85,32,37.64705882352941
validation,health_days_ausentismo_comun_3m,85,32,37.64705882352941
validation,health_available_ausentismo_laboral_3m,85,0,0.0
validation,health_count_ausentismo_laboral_3m,85,32,37.64705882352941
validation,health_days_ausentismo_laboral_3m,85,32,37.64705882352941
validation,health_available_at_3m,85,0,0.0
validation,health_count_at_3m,85,85,100.0
validation,health_days_at_3m,85,85,100.0
validation,health_available_veo_3m,85,0,0.0
validation,health_count_veo_3m,85,85,100.0
validation,health_days_veo_3m,85,85,100.0
validation,health_available_ausentismo_comun_6m,85,0,0.0
validation,health_count_ausentismo_comun_6m,85,69,81.17647058823529
validation,health_days_ausentismo_comun_6m,85,69,81.17647058823529
validation,health_available_ausentismo_laboral_6m,85,0,0.0
validation,health_count_ausentismo_laboral_6m,85,69,81.17647058823529
validation,health_days_ausentismo_laboral_6m,85,69,81.17647058823529
validation,health_available_at_6m,85,0,0.0
validation,health_count_at_6m,85,85,100.0
validation,health_days_at_6m,85,85,100.0
validation,health_available_veo_6m,85,0,0.0
validation,health_count_veo_6m,85,85,100.0
validation,health_days_veo_6m,85,85,100.0
validation,health_available_ausentismo_comun_12m,85,0,0.0
validation,health_count_ausentismo_comun_12m,85,83,97.6470588235294
validation,health_days_ausentismo_comun_12m,85,83,97.6470588235294
validation,health_available_ausentismo_laboral_12m,85,0,0.0
validation,health_count_ausentismo_laboral_12m,85,83,97.6470588235294
validation,health_days_ausentismo_laboral_12m,85,83,97.6470588235294
validation,health_available_at_12m,85,0,0.0
validation,health_count_at_12m,85,85,100.0
validation,health_days_at_12m,85,85,100.0
validation,health_available_veo_12m,85,0,0.0
validation,health_count_veo_12m,85,85,100.0
validation,health_days_veo_12m,85,85,100.0
test,tenure_years,92,0,0.0
test,health_available_ausentismo_comun_3m,92,0,0.0
test,health_count_ausentismo_comun_3m,92,42,45.65217391304348
test,health_days_ausentismo_comun_3m,92,42,45.65217391304348
test,health_available_ausentismo_laboral_3m,92,0,0.0
test,health_count_ausentismo_laboral_3m,92,42,45.65217391304348
test,health_days_ausentismo_laboral_3m,92,42,45.65217391304348
test,health_available_at_3m,92,0,0.0
test,health_count_at_3m,92,92,100.0
test,health_days_at_3m,92,92,100.0
test,health_available_veo_3m,92,0,0.0
test,health_count_veo_3m,92,92,100.0
test,health_days_veo_3m,92,92,100.0
test,health_available_ausentismo_comun_6m,92,0,0.0
test,health_count_ausentismo_comun_6m,92,75,81.52173913043478
test,health_days_ausentismo_comun_6m,92,75,81.52173913043478
test,health_available_ausentismo_laboral_6m,92,0,0.0
test,health_count_ausentismo_laboral_6m,92,75,81.52173913043478
test,health_days_ausentismo_laboral_6m,92,75,81.52173913043478
test,health_available_at_6m,92,0,0.0
test,health_count_at_6m,92,92,100.0
test,health_days_at_6m,92,92,100.0
test,health_available_veo_6m,92,0,0.0
test,health_count_veo_6m,92,92,100.0
test,health_days_veo_6m,92,92,100.0
test,health_available_ausentismo_comun_12m,92,0,0.0
test,health_count_ausentismo_comun_12m,92,90,97.82608695652173
test,health_days_ausentismo_comun_12m,92,90,97.82608695652173
test,health_available_ausentismo_laboral_12m,92,0,0.0
test,health_count_ausentismo_laboral_12m,92,90,97.82608695652173
test,health_days_ausentismo_laboral_12m,92,90,97.82608695652173
test,health_available_at_12m,92,0,0.0
test,health_count_at_12m,92,92,100.0
test,health_days_at_12m,92,92,100.0
test,health_available_veo_12m,92,0,0.0
test,health_count_veo_12m,92,92,100.0
test,health_days_veo_12m,92,92,100.0
score,tenure_years,3420,0,0.0
score,health_available_ausentismo_comun_3m,3420,0,0.0
score,health_count_ausentismo_comun_3m,3420,433,12.660818713450292
score,health_days_ausentismo_comun_3m,3420,433,12.660818713450292
score,health_available_ausentismo_laboral_3m,3420,0,0.0
score,health_count_ausentismo_laboral_3m,3420,433,12.660818713450292
score,health_days_ausentismo_laboral_3m,3420,433,12.660818713450292
score,health_available_at_3m,3420,0,0.0
score,health_count_at_3m,3420,3420,100.0
score,health_days_at_3m,3420,3420,100.0
score,health_available_veo_3m,3420,0,0.0
score,health_count_veo_3m,3420,3420,100.0
score,health_days_veo_3m,3420,3420,100.0
score,health_available_ausentismo_comun_6m,3420,0,0.0
score,health_count_ausentismo_comun_6m,3420,1739,50.847953216374265
score,health_days_ausentismo_comun_6m,3420,1739,50.847953216374265
score,health_available_ausentismo_laboral_6m,3420,0,0.0
score,health_count_ausentismo_laboral_6m,3420,1739,50.847953216374265
score,health_days_ausentismo_laboral_6m,3420,1739,50.847953216374265
score,health_available_at_6m,3420,0,0.0
score,health_count_at_6m,3420,3420,100.0
score,health_days_at_6m,3420,3420,100.0
score,health_available_veo_6m,3420,0,0.0
score,health_count_veo_6m,3420,3420,100.0
score,health_days_veo_6m,3420,3420,100.0
score,health_available_ausentismo_comun_12m,3420,0,0.0
score,health_count_ausentismo_comun_12m,3420,2675,78.21637426900585
score,health_days_ausentismo_comun_12m,3420,2675,78.21637426900585
score,health_available_ausentismo_laboral_12m,3420,0,0.0
score,health_count_ausentismo_laboral_12m,3420,2675,78.21637426900585
score,health_days_ausentismo_laboral_12m,3420,2675,78.21637426900585
score,health_available_at_12m,3420,0,0.0
score,health_count_at_12m,3420,3420,100.0
score,health_days_at_12m,3420,3420,100.0
score,health_available_veo_12m,3420,0,0.0
score,health_count_veo_12m,3420,3420,100.0
score,health_days_veo_12m,3420,3420,100.0
