source,check,count
employment,rows_read,11292
employment,exact_duplicates_removed,0
employment,missing_company,0
employment,missing_person_id,0
employment,missing_spell_id,0
employment,missing_start_date,0
employment,missing_end_date,3389
employment,missing_recorded_at,0
employment,missing_job,11292
employment,missing_area,11292
employment,missing_site,11292
employment,normalized_exact_duplicates_removed,0
outcomes,rows_read,56
outcomes,exact_duplicates_removed,0
outcomes,missing_company,0
outcomes,missing_person_id,0
outcomes,missing_event_id,0
outcomes,missing_status,0
outcomes,missing_event_date,0
outcomes,missing_available_at,0
outcomes,normalized_exact_duplicates_removed,0
followup,rows_read,11189
followup,exact_duplicates_removed,0
followup,missing_company,0
followup,missing_person_id,0
followup,missing_obs_start,0
followup,missing_obs_end,0
followup,missing_verified_at,0
followup,normalized_exact_duplicates_removed,0
health_events,rows_read,31321
health_events,exact_duplicates_removed,0
health_events,missing_company,0
health_events,missing_person_id,0
health_events,missing_event_id,0
health_events,missing_event_date,0
health_events,missing_available_at,0
health_events,missing_source_kind,0
health_events,missing_days,2
health_events,missing_severity,31321
health_events,normalized_exact_duplicates_removed,0
outcomes,unlinked_people_to_employment,35
followup,unlinked_people_to_employment,0
health_events,unlinked_people_to_employment,6639
