t0,activos,prevalentes_excluidos,elegibles,meses_seguimiento_hasta_cierre,activos_con_vinculo_desde_3m_antes,activos_con_vinculo_desde_6m_antes,activos_con_vinculo_desde_12m_antes,eventos_a_12m,horizonte_12m_dentro_de_cobertura,eventos_a_36m,horizonte_36m_dentro_de_cobertura,eventos_a_60m,horizonte_60m_dentro_de_cobertura,eventos_totales_posteriores
2020-12-31,258,0,258,65.9,75,48,10,0,True,2,True,4,True,4
2021-03-31,437,0,437,63.0,258,75,11,0,True,2,True,6,True,6
2021-06-30,646,4,642,60.0,434,256,47,0,True,3,True,8,False,8
2021-09-30,678,4,674,57.0,576,369,24,2,True,3,True,8,False,8
2021-12-31,519,3,516,53.9,274,241,61,2,True,3,True,8,False,8
2022-03-31,748,4,744,51.0,320,132,58,2,True,3,True,10,False,10
2022-06-30,743,4,739,48.0,571,216,62,1,True,5,True,9,False,9
2022-09-30,810,7,803,45.0,684,526,65,0,True,6,True,8,False,8
2022-12-31,511,4,507,42.0,230,202,20,0,True,6,True,6,False,6
2023-03-31,877,8,869,39.0,335,77,42,0,True,7,True,8,False,8
2023-06-30,896,6,890,36.0,578,267,31,1,True,8,False,8,False,8
2023-09-30,964,6,958,33.0,855,560,31,1,True,8,False,8,False,8
2023-12-31,715,5,710,30.0,481,436,143,1,True,7,False,7,False,7
